,pubmed_id,title,abstract,target,title_clean,abstract_clean
51,33859622,D-Chiro-Inositol Regulates Insulin Signaling in Human Adipocytes.,"D-Chiro-Inositol (D-Chiro-Ins) is a secondary messenger in the insulin signaling pathway. D-Chiro-Ins modulates insulin secretion, the mitochondrial respiratory chain, and glycogen storage. Due to these actions D-Chiro-Ins has been proposed to correct defective insulin function in a variety of conditions characterized by metabolic dysfunction, such as polycystic ovary syndrome (PCOS), obesity, gestational diabetes and fat accumulation at menopause. Since it is unclear whether D-Chiro-Ins directly acts on adipocytes, we aimed to study D-Chiro-Ins's actions on adipocyte viability, proliferation, differentiation, and insulin-related protein expression using a human adipocyte cell line derived from Simpson-Golabi-Behmel Syndrome (SGBS) which fully differentiates to mature adipocytes. Throughout differentiation, cells were treated with D-Chiro-Ins, 17β-estradiol (E2) or Insulin. Cell viability and proliferation were not affected by D-Chiro-Ins, then D-Chiro-Ins promoted cell differentiation only during the final days of the process, while E2 enhanced it from the first phases. D-Chiro-Ins stimulated lipid storage and the production of big lipid droplets, thus reducing the content of free fatty acids. We also found that D-Chiro-Ins, either alone or in combination with insulin and E2 increased the expression and activation of insulin receptor substrate-1 (IRS1) and glucose transporter type 4 (GLUT4). In conclusion, this work shows that D-Chiro-Ins plays a direct role in the differentiation and in the function of human adipocytes, where it synergizes with insulin and estrogen through the recruitment of signal transduction pathways involved in lipid and glucose storage. These findings give clear insights to better understand the actions of D-Chiro-Ins on fat metabolism in women in physiology and in a variety of diseases.",obesity,dchiroinositol regulates insulin signaling human adipocytes,dchiroinositol dchiroins secondary messenger insulin signaling pathway dchiroins modulates insulin secretion mitochondrial respiratory chain glycogen storage due action dchiroins proposed correct defective insulin function variety condition characterized metabolic dysfunction polycystic ovary syndrome pcos obesity gestational diabetes fat accumulation menopause since unclear whether dchiroins directly act adipocytes aimed study dchiroinss action adipocyte viability proliferation differentiation insulinrelated protein expression using human adipocyte cell line derived simpsongolabibehmel syndrome sgbs fully differentiates mature adipocytes throughout differentiation cell treated dchiroins βestradiol insulin cell viability proliferation affected dchiroins dchiroins promoted cell differentiation final day process enhanced first phase dchiroins stimulated lipid storage production big lipid droplet thus reducing content free fatty acid also found dchiroins either alone combination insulin increased expression activation insulin receptor substrate irs glucose transporter type glut conclusion work show dchiroins play direct role differentiation function human adipocytes synergizes insulin estrogen recruitment signal transduction pathway involved lipid glucose storage finding give clear insight better understand action dchiroins fat metabolism woman physiology variety disease
52,33859621,Improvement of Insulin Sensitivity Increases Pregnancy Rate in Infertile PCOS Women: A Systemic Review.,"Polycystic ovary syndrome (PCOS) is the most common cause of infertility in reproductive-age women. Insulin increases steroidogenesis, deranges granulosa cell differentiation, and affects follicle growth. However, results from randomized control trials (RCTs) were heterogeneous, and little strong evidence associated actual achievement of insulin sensitivity (IS) improvement with reproductive outcomes.
To identify evidence of the reproductive benefit of IS improvement in infertile PCOS women by analyzing eligible RCTs.
Different search strategies with unlimited keywords, including treatment, therapy, intervention, polycystic ovary syndrome/PCOS, insulin resistance, pregnancy, conceive, live birth, and randomized controlled trials/RCT were used in databases including Pubmed, Embase, and Web of Science to November 20th, 2021.
Two authors independently abstracted study details and assessed study quality.
Ten RCTs that covered different races and met the inclusion criteria were included for analysis and discussion. Clinical pregnancy rate was increased in infertile PCOS women when they had significant improvement of IS after treatment regardless of the various interventions (non-surgical). The benefits of IS improvement appeared superior in PCOS women without severe obesity. The effect of IS improvement on pregnancy rate was independent of the change of BMI.
Nonsurgical therapeutic strategies that promote superior IS improvement may aid infertile PCOS women to increase their possibility of successful pregnancy regardless of the various interventions. The improvement of IS might be more important than the reduction of BMI in the improvement of pregnancy rate in infertile PCOS women.",obesity,improvement insulin sensitivity increase pregnancy rate infertile pcos woman systemic review,polycystic ovary syndrome pcos common cause infertility reproductiveage woman insulin increase steroidogenesis deranges granulosa cell differentiation affect follicle growth however result randomized control trial rcts heterogeneous little strong evidence associated actual achievement insulin sensitivity improvement reproductive outcome identify evidence reproductive benefit improvement infertile pcos woman analyzing eligible rcts different search strategy unlimited keywords including treatment therapy intervention polycystic ovary syndromepcos insulin resistance pregnancy conceive live birth randomized controlled trialsrct used database including pubmed embase web science november th two author independently abstracted study detail assessed study quality ten rcts covered different race met inclusion criterion included analysis discussion clinical pregnancy rate increased infertile pcos woman significant improvement treatment regardless various intervention nonsurgical benefit improvement appeared superior pcos woman without severe obesity effect improvement pregnancy rate independent change bmi nonsurgical therapeutic strategy promote superior improvement may aid infertile pcos woman increase possibility successful pregnancy regardless various intervention improvement might important reduction bmi improvement pregnancy rate infertile pcos woman
53,33859620,Platelet Protein-Related Abnormalities in Response to Acute Hypoglycemia in Type 2 Diabetes.,"Patients with severe COVID-19 infections have coagulation abnormalities indicative of a hypercoagulable state, with thromboembolic complications and increased mortality. Platelets are recognized as mediators of inflammation, releasing proinflammatory and prothrombotic factors, and are hyperactivated in COVID-19 infected patients. Activated platelets have also been reported in type 2 diabetes (T2D) patients, putting these patients at higher risk for thromboembolic complications of COVID-19 infection.
A case-control study of T2D (n=33) and control subjects (n=30) who underwent a hyperinsulinemic clamp to induce normoglycemia in T2D subjects: T2D: baseline glucose 7.5 ± 0.3mmol/l (135.1 ± 5.4mg/dl), reduced to 4.5 ± 0.07mmol/l (81 ± 1.2mg/dl) with 1-hour clamp; Controls: maintained at 5.1 ± 0.1mmol/l (91.9 ± 1.8mg/dl). Slow Off-rate Modified Aptamer (SOMA)-scan plasma protein measurement was used to determine a panel of platelet proteins.
Prothrombotic platelet proteins were elevated in T2D versus controls: platelet factor 4 (PF4, p<0.05); platelet glycoprotein VI (PGVI p<0.05); P-selectin (p<0.01) and plasminogen activator inhibitor I (PAI-1, p<0.01). In addition, the antithrombotic platelet-related proteins, plasmin (p<0.05) and heparin cofactor II (HCFII, p<0.05), were increased in T2D. Normalization of glucose in the T2D cohort had no effect on platelet protein levels.
T2D patients have platelet hyperactivation, placing them at higher risk for thromboembolic events. When infected with COVID-19, this risk may be compounded, and their propensity for a more severe COVID-19 disease course increased.
https://clinicaltrials.gov/ct2/show/NCT03102801, identifier NCT03102801.",obesity,platelet proteinrelated abnormality response acute hypoglycemia type diabetes,patient severe covid infection coagulation abnormality indicative hypercoagulable state thromboembolic complication increased mortality platelet recognized mediator inflammation releasing proinflammatory prothrombotic factor hyperactivated covid infected patient activated platelet also reported type diabetes td patient putting patient higher risk thromboembolic complication covid infection casecontrol study td n control subject n underwent hyperinsulinemic clamp induce normoglycemia td subject td baseline glucose mmoll mgdl reduced mmoll mgdl hour clamp control maintained mmoll mgdl slow offrate modified aptamer somascan plasma protein measurement used determine panel platelet protein prothrombotic platelet protein elevated td versus control platelet factor pf p platelet glycoprotein vi pgvi p pselectin p plasminogen activator inhibitor pai p addition antithrombotic plateletrelated protein plasmin p heparin cofactor ii hcfii p increased td normalization glucose td cohort effect platelet protein level td patient platelet hyperactivation placing higher risk thromboembolic event infected covid risk may compounded propensity severe covid disease course increased httpsclinicaltrialsgovctshownct identifier nct
54,33859538,Glutamine Administration Attenuates Kidney Inflammation in Obese Mice Complicated with Polymicrobial Sepsis.,"Obesity is a well-known public health issue around the world. Sepsis is a lethal clinical syndrome that causes multiorgan failure. Obesity may aggravate inflammation in septic patients. Glutamine (GLN) is a nutrient with immune regulatory and anti-inflammatory properties. Since sepsis is a common contributing factor for acute kidney injury (AKI), this study investigated the effects of GLN administration on sepsis-induced inflammation and AKI in obese mice. A high-fat diet which consists of 60% of calories from fat was provided for 10 weeks to induce obesity in the mice. Then, the obese mice were subdivided into sepsis with saline (SS) or GLN (SG) groups. Cecal ligation and puncture (CLP) was performed to produce sepsis. The SS group was intravenously injected with saline while the SG group was administered GLN one or two doses after CLP. Obese mice with sepsis were sacrificed at 12, 24, or 48 h post-CLP. Results revealed that sepsis resulted in upregulated high-mobility group box protein-1 pathway-associated gene expression in obese mice. Also, expressions of macrophage/neutrophil infiltration markers and inflammatory cytokines in kidneys were elevated. Obese mice treated with GLN after sepsis reversed the depletion of plasma GLN, reduced production of lipid peroxides, and downregulated macrophage/neutrophil infiltration and the inflammatory-associated pathway whereas tight junction gene expression increased in the kidneys. These findings suggest that intravenously administered GLN to obese mice after sepsis alleviated inflammation and attenuated AKI. This model may have clinical application to obese patients with a risk for infection in abdominal surgery.",obesity,glutamine administration attenuates kidney inflammation obese mouse complicated polymicrobial sepsis,obesity wellknown public health issue around world sepsis lethal clinical syndrome cause multiorgan failure obesity may aggravate inflammation septic patient glutamine gln nutrient immune regulatory antiinflammatory property since sepsis common contributing factor acute kidney injury aki study investigated effect gln administration sepsisinduced inflammation aki obese mouse highfat diet consists calorie fat provided week induce obesity mouse obese mouse subdivided sepsis saline s gln sg group cecal ligation puncture clp performed produce sepsis s group intravenously injected saline sg group administered gln one two dos clp obese mouse sepsis sacrificed h postclp result revealed sepsis resulted upregulated highmobility group box protein pathwayassociated gene expression obese mouse also expression macrophageneutrophil infiltration marker inflammatory cytokine kidney elevated obese mouse treated gln sepsis reversed depletion plasma gln reduced production lipid peroxide downregulated macrophageneutrophil infiltration inflammatoryassociated pathway whereas tight junction gene expression increased kidney finding suggest intravenously administered gln obese mouse sepsis alleviated inflammation attenuated aki model may clinical application obese patient risk infection abdominal surgery
55,33859487,Incidence and Survival of Hepatocellular Carcinoma in Type 2 Diabetes Patients with Cirrhosis Who Were Treated with and without Metformin.,"To evaluate metformin's benefit on the incidence and survival of hepatocellular carcinoma (HCC) in cirrhosis with type 2 diabetes mellitus (T2DM) patients.
We conducted a retrospective study from 2006 to 2019. The patients were assigned to metformin exposure if they administered metformin at least 3 months after diagnosis of cirrhosis. The outcomes were incidence and survival of HCC in T2DM with cirrhosis treated with metformin compared with those who were not treated with metformin. For the incidence of HCC, the follow-up time was 5 years after cirrhosis was diagnosed. For the survival of HCC, we censored for vital status in June 2019.
Of 1061 patients, the patients were divided into 719 patients with metformin exposure and 342 in metformin non-exposure. In metformin exposure, 125 patients (17.4%) developed HCC. In metformin non-exposure, 128 patients (37.4%) developed HCC. Metformin exposure had a significantly lower risk of developing HCC in multivariate analysis HR 0.48 (0.36-0.61); P<0.001. For the survival of HCC, 327 patients were recruited. One-hundred and sixty-two patients were in metformin exposure and 165 patients were in metformin non-exposure. Sixty patients (37%) in metformin exposure died, while 84 patients (50.9%) in metformin non-exposure died. The median survival of metformin exposure and metformin non-exposure were 6.9 years and 3.88 years, respectively; P=0.003. In univariate analysis, the metformin exposure was significantly associated with better survival than in the non-exposure group, HR 0.63 (0.45-0.88); P=0.006. No significant difference was observed in multivariate analysis between two groups, HR 1.07 (0.74-1.54); P=0.72.
Metformin exposure was associated with a lower incidence of HCC in cirrhosis with T2DM patients and seemed to extend survival. Continuing metformin in patients with cirrhosis with T2DM should be considered if there was no contraindication.",obesity,incidence survival hepatocellular carcinoma type diabetes patient cirrhosis treated without metformin,evaluate metformin benefit incidence survival hepatocellular carcinoma hcc cirrhosis type diabetes mellitus tdm patient conducted retrospective study patient assigned metformin exposure administered metformin least month diagnosis cirrhosis outcome incidence survival hcc tdm cirrhosis treated metformin compared treated metformin incidence hcc followup time year cirrhosis diagnosed survival hcc censored vital status june patient patient divided patient metformin exposure metformin nonexposure metformin exposure patient developed hcc metformin nonexposure patient developed hcc metformin exposure significantly lower risk developing hcc multivariate analysis hr p survival hcc patient recruited onehundred sixtytwo patient metformin exposure patient metformin nonexposure sixty patient metformin exposure died patient metformin nonexposure died median survival metformin exposure metformin nonexposure year year respectively p univariate analysis metformin exposure significantly associated better survival nonexposure group hr p significant difference observed multivariate analysis two group hr p metformin exposure associated lower incidence hcc cirrhosis tdm patient seemed extend survival continuing metformin patient cirrhosis tdm considered contraindication
56,33859468,Clinical Impact of Initiation of U-500 Insulin vs Continuation of U-100 Insulin in Subjects With Diabetes.,"The prevalence of obesity and diabetes mellitus (DM) has each increased drastically according to the Centers for Disease Control and Prevention. Growth of severe insulinresistant DM is predicted. U-500 insulin is highly concentrated and can replace less concentrated formulations in patients that need high insulin dosages. The aim of this study was to compare clinical outcomes of U-500 and U-100 insulin regimens in veterans with obesity and insulin resistance.
A single-site retrospective chart analysis of adult subjects was conducted from July 2002 to June 2011. Data for repeated measures spanned a period from 3 months before the intervention (baseline) through 12 months afterward. The main outcome was the variation in hemoglobin A
A total of 142 subjects (68 taking U-500 and 74 taking U-100) were included. Baseline characteristics were similar between the groups, except for weight, which was higher among U-500 subjects. Mean HbA
U-500 insulin, when compared with U-100 insulin regimens, led to a statistically significant reduction in HbA",obesity,clinical impact initiation u insulin v continuation u insulin subject diabetes,prevalence obesity diabetes mellitus dm increased drastically according center disease control prevention growth severe insulinresistant dm predicted u insulin highly concentrated replace le concentrated formulation patient need high insulin dosage aim study compare clinical outcome u u insulin regimen veteran obesity insulin resistance singlesite retrospective chart analysis adult subject conducted july june data repeated measure spanned period month intervention baseline month afterward main outcome variation hemoglobin total subject taking u taking u included baseline characteristic similar group except weight higher among u subject mean hba u insulin compared u insulin regimen led statistically significant reduction hba
57,33859431,The STEP 1 trial for weight loss: a step change in treating obesity?,,obesity,step trial weight loss step change treating obesity,none
58,33859430,Inhibition of the IL-17A axis in adipocytes suppresses diet-induced obesity and metabolic disorders in mice.,"Overnutrition causes obesity, a global health problem without any effective therapy. Obesity is characterized by low-grade inflammation, which predisposes individuals to metabolic syndrome via unknown mechanisms. Here, we demonstrate that abolishing the interleukin-17A (IL-17A) axis in mice by inhibition of RORγt-mediated IL-17A production by digoxin, or by ubiquitous deletion of IL-17 receptor A (Il17ra), suppresses diet-induced obesity (DIO) and metabolic disorders, and promotes adipose-tissue browning, thermogenesis and energy expenditure. Genetic ablation of Il17ra specifically in adipocytes is sufficient to completely prevent DIO and metabolic dysfunction in mice. IL-17A produced in response to DIO induces PPARγ phosphorylation at Ser273 in adipocytes in a CDK5-dependent manner, thereby modifying expression of diabetogenic and obesity genes, which correlates with IL-17A signalling in white adipose tissues of individuals with morbid obesity. These findings reveal an unanticipated role for IL-17A in adipocyte biology, in which its direct action pathogenically reprograms adipocytes, promoting DIO and metabolic syndrome. Targeting the IL-17A axis could be an efficient antiobesity strategy.",obesity,inhibition ila axis adipocytes suppresses dietinduced obesity metabolic disorder mouse,overnutrition cause obesity global health problem without effective therapy obesity characterized lowgrade inflammation predisposes individual metabolic syndrome via unknown mechanism demonstrate abolishing interleukina ila axis mouse inhibition rorγtmediated ila production digoxin ubiquitous deletion il receptor ilra suppresses dietinduced obesity dio metabolic disorder promotes adiposetissue browning thermogenesis energy expenditure genetic ablation ilra specifically adipocytes sufficient completely prevent dio metabolic dysfunction mouse ila produced response dio induces pparγ phosphorylation ser adipocytes cdkdependent manner thereby modifying expression diabetogenic obesity gene correlate ila signalling white adipose tissue individual morbid obesity finding reveal unanticipated role ila adipocyte biology direct action pathogenically reprograms adipocytes promoting dio metabolic syndrome targeting ila axis could efficient antiobesity strategy
59,33859429,Irx3 and Irx5 in Ins2-Cre,"Obesity is mainly due to excessive food intake. IRX3 and IRX5 have been suggested as determinants of obesity in connection with the intronic variants of FTO, but how these genes contribute to obesity via changes in food intake remains unclear. Here, we show that mice doubly heterozygous for Irx3 and Irx5 mutations exhibit lower food intake with enhanced hypothalamic leptin response. By lineage tracing and single-cell RNA sequencing using the Ins2-Cre system, we identify a previously unreported radial glia-like neural stem cell population with high Irx3 and Irx5 expression in early postnatal hypothalamus and demonstrate that reduced dosage of Irx3 and Irx5 promotes neurogenesis in postnatal hypothalamus leading to elevated numbers of leptin-sensing arcuate neurons. Furthermore, we find that mice with deletion of Irx3 in these cells also exhibit a similar food intake and hypothalamic phenotype. Our results illustrate that Irx3 and Irx5 play a regulatory role in hypothalamic postnatal neurogenesis and leptin response.",obesity,irx irx inscre,obesity mainly due excessive food intake irx irx suggested determinant obesity connection intronic variant fto gene contribute obesity via change food intake remains unclear show mouse doubly heterozygous irx irx mutation exhibit lower food intake enhanced hypothalamic leptin response lineage tracing singlecell rna sequencing using inscre system identify previously unreported radial glialike neural stem cell population high irx irx expression early postnatal hypothalamus demonstrate reduced dosage irx irx promotes neurogenesis postnatal hypothalamus leading elevated number leptinsensing arcuate neuron furthermore find mouse deletion irx cell also exhibit similar food intake hypothalamic phenotype result illustrate irx irx play regulatory role hypothalamic postnatal neurogenesis leptin response
60,33859314,Extra virgin olive oil improved body weight and insulin sensitivity in high fat diet-induced obese LDLr-/-.Leiden mice without attenuation of steatohepatitis.,"Dietary fatty acids play a role in the pathogenesis of obesity-associated non-alcoholic fatty liver disease (NAFLD), which is associated with insulin resistance (IR). Fatty acid composition is critical for IR and subsequent NAFLD development. Extra-virgin olive oil (EVOO) is the main source of monounsaturated fatty acids (MUFA) in Mediterranean diets. This study examined whether EVOO-containing high fat diets may prevent diet-induced NAFLD using Ldlr-/-. Leiden mice. In female Ldlr-/-.Leiden mice, the effects of the following high fat diets (HFDs) were examined: a lard-based HFD (HFD-L); an EVOO-based HFD (HFD-EVOO); a phenolic compounds-rich EVOO HFD (HFD-OL). We studied changes in body weight (BW), lipid profile, transaminases, glucose homeostasis, liver pathology and transcriptome. Both EVOO diets reduced body weight (BW) and improved insulin sensitivity. The EVOOs did not improve transaminase values and increased LDL-cholesterol and liver collagen content. EVOOs and HFD-L groups had comparable liver steatosis. The profibrotic effects were substantiated by an up-regulation of gene transcripts related to glutathione metabolism, chemokine signaling and NF-kappa-B activation and down-regulation of genes relevant for fatty acid metabolism. Collectivelly, EVOO intake improved weight gain and insulin sensitivity but not liver inflammation and fibrosis, which was supported by changes in hepatic genes expression.",obesity,extra virgin olive oil improved body weight insulin sensitivity high fat dietinduced obese ldlrleiden mouse without attenuation steatohepatitis,dietary fatty acid play role pathogenesis obesityassociated nonalcoholic fatty liver disease nafld associated insulin resistance ir fatty acid composition critical ir subsequent nafld development extravirgin olive oil evoo main source monounsaturated fatty acid mufa mediterranean diet study examined whether evoocontaining high fat diet may prevent dietinduced nafld using ldlr leiden mouse female ldlrleiden mouse effect following high fat diet hfds examined lardbased hfd hfdl evoobased hfd hfdevoo phenolic compoundsrich evoo hfd hfdol studied change body weight bw lipid profile transaminase glucose homeostasis liver pathology transcriptome evoo diet reduced body weight bw improved insulin sensitivity evoos improve transaminase value increased ldlcholesterol liver collagen content evoos hfdl group comparable liver steatosis profibrotic effect substantiated upregulation gene transcript related glutathione metabolism chemokine signaling nfkappab activation downregulation gene relevant fatty acid metabolism collectivelly evoo intake improved weight gain insulin sensitivity liver inflammation fibrosis supported change hepatic gene expression
61,33859286,Exendin-4 improves long-term potentiation and neuronal dendritic growth in vivo and in vitro obesity condition.,"Metabolic syndrome, which increases the risk of obesity and type 2 diabetes has emerged as a significant issue worldwide. Recent studies have highlighted the relationship between metabolic imbalance and neurological pathologies such as memory loss. Glucagon-like peptide 1 (GLP-1) secreted from gut L-cells and specific brain nuclei plays multiple roles including regulation of insulin sensitivity, inflammation and synaptic plasticity. Although GLP-1 and GLP-1 receptor agonists appear to have neuroprotective function, the specific mechanism of their action in brain remains unclear. We investigated whether exendin-4, as a GLP-1RA, improves cognitive function and brain insulin resistance in metabolic-imbalanced mice fed a high-fat diet. Considering the result of electrophysiological experiments, exendin-4 inhibits the reduction of long term potentiation (LTP) in high fat diet mouse brain. Further, we identified the neuroprotective effect of exendin-4 in primary cultured hippocampal and cortical neurons in in vitro metabolic imbalanced condition. Our results showed the improvement of IRS-1 phosphorylation, neuronal complexity, and the mature of dendritic spine shape by exendin-4 treatment in metabolic imbalanced in vitro condition. Here, we provides significant evidences on the effect of exendin-4 on synaptic plasticity, long-term potentiation, and neural structure. We suggest that GLP-1 is important to treat neuropathology caused by metabolic syndrome.",obesity,exendin improves longterm potentiation neuronal dendritic growth vivo vitro obesity condition,metabolic syndrome increase risk obesity type diabetes emerged significant issue worldwide recent study highlighted relationship metabolic imbalance neurological pathology memory loss glucagonlike peptide glp secreted gut lcells specific brain nucleus play multiple role including regulation insulin sensitivity inflammation synaptic plasticity although glp glp receptor agonist appear neuroprotective function specific mechanism action brain remains unclear investigated whether exendin glpra improves cognitive function brain insulin resistance metabolicimbalanced mouse fed highfat diet considering result electrophysiological experiment exendin inhibits reduction long term potentiation ltp high fat diet mouse brain identified neuroprotective effect exendin primary cultured hippocampal cortical neuron vitro metabolic imbalanced condition result showed improvement irs phosphorylation neuronal complexity mature dendritic spine shape exendin treatment metabolic imbalanced vitro condition provides significant evidence effect exendin synaptic plasticity longterm potentiation neural structure suggest glp important treat neuropathology caused metabolic syndrome
62,33859285,Predicting anthropometric and metabolic traits with a genetic risk score for obesity in a sample of Pakistanis.,"Obesity is an outcome of multiple factors including environmental and genetic influences. Common obesity is a polygenic trait indicating that multiple genetic variants act synergistically to influence its expression. We constructed a genetic risk score (GRS) based on five genetic variants (MC4R rs17782313, BDNF rs6265, FTO rs1421085, TMEM18 rs7561317, and NEGR1 rs2815752) and examined its association with obesity-related traits in a sample of Pakistanis. The study involved 306 overweight/obese (OW/OB) and 300 normal-weight (NW) individuals. The age range of the study participants was 12-63 years. All anthropometric and metabolic parameters were measured for each participant via standard procedures and biochemical assays, respectively. The genetic variants were genotyped by allelic discrimination assays. The age- and gender-adjusted associations between the GRS and obesity-related anthropometric and metabolic measures were determined using linear regression analyses. The results showed that OW/OB individuals had significantly higher mean ranks of GRS than NW individuals. Moreover, a significant association of the GRS with obesity-related anthropometric traits was seen. However, the GRS did not appear to affect any obesity-related metabolic parameter. In conclusion, our findings indicate the combined effect of multiple genetic variants on the obesity-related anthropometric phenotypes in Pakistanis.",obesity,predicting anthropometric metabolic trait genetic risk score obesity sample pakistani,obesity outcome multiple factor including environmental genetic influence common obesity polygenic trait indicating multiple genetic variant act synergistically influence expression constructed genetic risk score grs based five genetic variant mcr r bdnf r fto r tmem r negr r examined association obesityrelated trait sample pakistani study involved overweightobese owob normalweight nw individual age range study participant year anthropometric metabolic parameter measured participant via standard procedure biochemical assay respectively genetic variant genotyped allelic discrimination assay age genderadjusted association grs obesityrelated anthropometric metabolic measure determined using linear regression analysis result showed owob individual significantly higher mean rank grs nw individual moreover significant association grs obesityrelated anthropometric trait seen however grs appear affect obesityrelated metabolic parameter conclusion finding indicate combined effect multiple genetic variant obesityrelated anthropometric phenotype pakistani
63,33859244,Obesity-related proteins score as a potential marker of breast cancer risk.,"There is strong evidence to suggest that obesity-related proteins play a key role in pathways that are related to breast cancer. In this study, we aimed to establish a robust obesity-related protein score (ORPS) that could be used to assess breast cancer risk. Based on evidence from high-quality systematic reviews and population studies, we selected nine such proteins that are stable in vitro, and measured their circulating concentrations by ELISA in a case-control study conducted in Chengdu, Sichuan, China, with 279 breast cancer cases and 260 healthy controls. Two obesity-related protein scores (ORPS) were calculated using a three-step method, with linear-weighted summation, and the one with a larger area under the curve was chosen for further evaluation. As a result, ORPS (PS",obesity,obesityrelated protein score potential marker breast cancer risk,strong evidence suggest obesityrelated protein play key role pathway related breast cancer study aimed establish robust obesityrelated protein score orps could used ass breast cancer risk based evidence highquality systematic review population study selected nine protein stable vitro measured circulating concentration elisa casecontrol study conducted chengdu sichuan china breast cancer case healthy control two obesityrelated protein score orps calculated using threestep method linearweighted summation one larger area curve chosen evaluation result orps p
64,33859189,Single cell regulatory landscape of the mouse kidney highlights cellular differentiation programs and disease targets.,"Determining the epigenetic program that generates unique cell types in the kidney is critical for understanding cell-type heterogeneity during tissue homeostasis and injury response. Here, we profile open chromatin and gene expression in developing and adult mouse kidneys at single cell resolution. We show critical reliance of gene expression on distal regulatory elements (enhancers). We reveal key cell type-specific transcription factors and major gene-regulatory circuits for kidney cells. Dynamic chromatin and expression changes during nephron progenitor differentiation demonstrates that podocyte commitment occurs early and is associated with sustained Foxl1 expression. Renal tubule cells follow a more complex differentiation, where Hfn4a is associated with proximal and Tfap2b with distal fate. Mapping single nucleotide variants associated with human kidney disease implicates critical cell types, developmental stages, genes, and regulatory mechanisms. The single cell multi-omics atlas reveals key chromatin remodeling events and gene expression dynamics associated with kidney development.",obesity,single cell regulatory landscape mouse kidney highlight cellular differentiation program disease target,determining epigenetic program generates unique cell type kidney critical understanding celltype heterogeneity tissue homeostasis injury response profile open chromatin gene expression developing adult mouse kidney single cell resolution show critical reliance gene expression distal regulatory element enhancer reveal key cell typespecific transcription factor major generegulatory circuit kidney cell dynamic chromatin expression change nephron progenitor differentiation demonstrates podocyte commitment occurs early associated sustained foxl expression renal tubule cell follow complex differentiation hfna associated proximal tfapb distal fate mapping single nucleotide variant associated human kidney disease implicates critical cell type developmental stage gene regulatory mechanism single cell multiomics atlas reveals key chromatin remodeling event gene expression dynamic associated kidney development
65,33859154,Complete Laparoscopic Removal and Staging of a Large Ovarian Malignancy: A Case Report.,"BACKGROUND Advances in minimally invasive surgery are essential for the improvement of patient care, overall health care efficiency, and total cost reductions. Morcellation, the technique used in the present case, is often used to aid minimally invasive laparoscopic procedures, whereby larger tissue specimens are broken down and divided to be removed via smaller incisions. Morcellation has become controversial in the medical community owing to the risk of the procedure spreading an occult malignancy. CASE REPORT A 47-year-old woman with obesity presented with right-sided pelvic pain and suspicion of ovarian torsion. The patient experienced severe acute pain and was taken to the operating room for laparoscopy to remove the left-sided adnexal mass seen on imaging. During surgery, there was no evidence of torsion, and the mass was perfused. During removal of the entire tumor, blunt instruments were utilized for in-bag manual morcellation to avoid spillage of the contents of the bag, which were then sent for frozen section analysis, and a diagnosis of adenocarcinoma of the ovary was made. Once the tumor was removed, a board-certified gynecologic oncologist was consulted to assist with the remainder of the procedure. Following this, the ovarian cancer staging procedure was able to be completed laparoscopically. CONCLUSIONS This technique of in-bag manual morcellation using blunt instruments allows laparoscopic procedures to be performed on large tissue specimens with potential malignancies without spreading cancerous tissue, overcoming the associated risks of dissemination of malignancy. This technique is therefore more beneficial to patients.",obesity,complete laparoscopic removal staging large ovarian malignancy case report,background advance minimally invasive surgery essential improvement patient care overall health care efficiency total cost reduction morcellation technique used present case often used aid minimally invasive laparoscopic procedure whereby larger tissue specimen broken divided removed via smaller incision morcellation become controversial medical community owing risk procedure spreading occult malignancy case report yearold woman obesity presented rightsided pelvic pain suspicion ovarian torsion patient experienced severe acute pain taken operating room laparoscopy remove leftsided adnexal mass seen imaging surgery evidence torsion mass perfused removal entire tumor blunt instrument utilized inbag manual morcellation avoid spillage content bag sent frozen section analysis diagnosis adenocarcinoma ovary made tumor removed boardcertified gynecologic oncologist consulted assist remainder procedure following ovarian cancer staging procedure able completed laparoscopically conclusion technique inbag manual morcellation using blunt instrument allows laparoscopic procedure performed large tissue specimen potential malignancy without spreading cancerous tissue overcoming associated risk dissemination malignancy technique therefore beneficial patient
